workerid,condition,year,sex,environmentalist,race,grandparent,children,leg_essay,beh_int_index,env_att_index,leg_mot_index
anon196,leg_prime,53,female,no,white,no,yes,"I would like to be remembered as a kind , loving , Christian woman. I would also like to be remembered for being a great wife and a wonderful mother. I hope my kids grow up with a good part of me. I hope they remember all the life lessons I have taught them and put them to use . I hope they remember to treat others as they would like to be treated and to help anyone who needs it. I also hope they remember to say their prayers and to thank God for their blessings.I have tried to instill all these qualities in my kids and I hope they continue to act like they have been taught. After I am gone, I hope that these qualities will continue to live on in my kids.",3.16666666666667,4.25,5
anon197,leg_prime,34,male,no,white,no,no,That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy. That I worked hard and donated a lot of money to help the needy.,3.66666666666667,4.5,3.33333333333333
anon198,leg_prime,38,male,no,white,no,yes," I would like to be remembered as a helpful person. A father that spent time with his kids. For the times that I helped them learn to ride a bike or taught them to throw a ball. For the times I took them on vacation, helped them with homework or held them when they were hurting. I would like my co-workers to think of the times that I was there when they needed help or guidance. For the times that I sat next to them at the bar after work after a hard day. To my friends, I'd like to be remembered as the one that did something crazy that we talked about for years to come, as the guy who was there when you needed a shoulder or just called because it had been a while.
 In general, I don't care how they all remember me, as long as my influence is remembered fondly.",3.16666666666667,5.5,4.66666666666667
anon199,control,32,male,no,white,no,no,,2.33333333333333,4.25,5
anon2,control,26,female,no,Asian,no,no,,3.5,4.75,4.66666666666667
anon20,leg_prime,62,female,no,African_American,yes,yes,"I do not aspire to fortune and fame at all.  I want to be known as a person who tried to, in the smallest of ways no doubt, leave the world a better place than when I came here.  Most importantly, I want to live out my faith in Christ as He directs.  This is where true peace and joy reigns.  It may not look like much from the world's point of view, especially in this day and age.  But I firmly believe that every one of us must face Him in the day of judgment.  The things, people, triumphs, tragedies, and all the rest are but earthly clothing we wear as the pilgrims passing through to our eternal home.  I do hope that maybe I have done something to cause someone to live for the Lord.  All else is temporal...if these haven't left us on this earth, we will have to leave them. at the last.  ",2.16666666666667,5.25,4.66666666666667
anon200,control,34,male,no,white,no,yes,,2.66666666666667,5.5,5
anon201,control,25,female,no,white,no,no,,2,5,4
anon202,leg_prime,30,male,no,white,no,no,"My caring and ability to make people feel better by laughing in some way. I think people will also remember me being different that most people. I was different in what I liked and what made me happy. I was not like everyone, I liked the more simpler things in life compared to other people.",2.33333333333333,3,3.66666666666667
anon203,control,21,male,no,white,no,no,,2.83333333333333,4.75,4.66666666666667
anon204,control,37,male,no,African_American,no,yes,,1.5,4.75,4.33333333333333
anon205,control,49,female,no,white,no,yes,,2.33333333333333,4.75,3.66666666666667
anon206,leg_prime,54,female,yes,white,no,yes,"I would like my daughter to remember me as a person who wasn't afraid to be unconventional, who encouraged her to develop her interests and talents, and as someone who shaped her eccentric view of the world. As well as my unwavering, unconditional love.  I would like to be remembered as helpful and informative by the people I educate in the course of my work. I would like to be remembered for being kind to people who are facing a difficult time in their lives. I would like to be remembered for sharing useful information accurately in my blog. It would also be nice if people in my community remembered me for my sense of humor and commitment to local feminist causes. ",3.66666666666667,4.75,4
anon207,leg_prime,49,male,yes,African_American,no,no,"I will like to be remembered for my humanity. All my life I have tried to live by the edict of ""do unto others as you would have them do unto you"". I have not had a very influential life and the circle of people who have known me for significant periods of me is small. However, I will like those who have known me to remember me for this trait of humanity I have all strived to live by. It is easy to underestimate the effect you have had had on people you have associated with over your lifetime. It is also easy to overestimate this effect. Ultimately, only those I leave people will be the judge of whether they believe I lived my life with this trait of humanity in a significant manner.",3.5,5,5
anon208,control,28,female,yes,African_American,no,yes,,3.66666666666667,5.25,5.66666666666667
anon209,control,36,male,yes,white,no,no,,4.5,5.25,4.66666666666667
anon21,leg_prime,25,female,no,white,no,yes,"I would like to be remembered by my family. I don't seek fame or glory. I would just like my family to remember me. I would like them to think I was a good mother. That I knew how to have a good time, that I was funny and loving. I don't need fame, just a happy family. ",2.33333333333333,5,4
anon210,control,57,male,no,white,no,no,,2.5,4.5,3.66666666666667
anon211,control,31,male,yes,white,no,no,,3.66666666666667,5.25,5
anon212,control,32,female,yes,white,no,yes,,3,5,5
anon213,control,20,male,no,Asian,no,no,,2.16666666666667,5.25,2.66666666666667
anon214,leg_prime,47,male,no,white,no,no,"I want to be remembered as an intelligent person that was honorable in all that I did.
I don't think at this point I'm going to change the world so I think the best thing I can be remembered for is treating people fairly and always making good on my commitments.
I want to be known as nice but not a pushover.
I would love to have made a difference in the lives of many but that simply isn't in my makeover. I guess just making my small part of the world better is the best I could hope for.",1.33333333333333,4.25,4
anon215,control,28,female,no,white,no,no,,1.83333333333333,5.25,2
anon216,control,25,male,yes,white,no,no,,2.5,5.5,2.66666666666667
anon217,control,28,male,yes,white,no,no,,3.66666666666667,4.25,5.33333333333333
anon218,leg_prime,39,male,no,white,no,yes,"I would like to be remembered as having a positive impact on my community, and being devoted to my family.  I try hard to help with things in my community and spend many hours supporting it.  I hope that I will be able to continue to do this when I get older.  This is very important to me, because I want to see my community continue to thrive, and become a better place.  I hope that as the community becomes a better place there are more opportunities for others to excel.  In this way, I can be remembered for being a positive impact on the community.  The other important thing I want to be remembered for is being devoted to my family.  I try hard to provide things for my family, and always be there for them.  I hope that this comes across in the things I do,and people will remember this part of my life when I am no longer here.",2.83333333333333,3.5,4.66666666666667
anon219,control,26,male,yes,white,no,no,,4.83333333333333,5.5,6
anon22,control,22,male,no,African_American,no,no,,2.5,5,5.33333333333333
anon220,leg_prime,31,female,no,Asian,no,no,"All in all I want to be remembered for being a good person. Some people will say that they want to be known for the accomplishment or changes they made in the world and while that is commendable, I believe that being good trumps everything else. Being good means that you were essentially well liked. Imagine someone like Donald Trump who may be known way in the future and while his accomplishments may be seen as something positive (I hope not), he is a terrible person. I do not want to be seen in the same light.",2.16666666666667,5,2.66666666666667
anon221,leg_prime,61,female,yes,white,yes,yes,"I would like to be remembered as someone who is compassionate, especially for those who are hurting or at a disadvantage.  I would like to be remembered as someone who is helpful and loyal.  I would like to be remembered as someone who can empathize with others and who is willing to help those - both human and animal - who are less fortunate.  I would like to be remembered as someone who is giving and generous.   ",4.66666666666667,5.5,4.33333333333333
anon222,leg_prime,50,female,yes,white,no,yes,"I would like to be remembered for being a hard worker, and someone who could be depended upon to contribute in a positive way to whatever they were involved in.  I would like to be remembered as someone who cared about their community and their environment, and worked to improve both.  I would like to be remembered as someone who was kind, intelligent, and funny.  I have volunteered extensively in the community and I would hope that would be an example for future generations.  In volunteering for charities and community organizations, I hope that I have made a positive difference in the missions of the organizations.",3.5,5.5,5.33333333333333
anon223,leg_prime,32,male,no,white,no,no,"I personally would like to be remembered for how I treated other people, but only for as long as those who had directly interacted with me are alive. I would like them to remember me as trying to teach them truth in a world full of lies. To me this is the only kind of legitimate legacy a person can leave behind. Everyone, no matter how important their achievements, will eventually be forgotten by future generations; generations for that matter that they themselves had no connection with. ",1.83333333333333,5.25,1.66666666666667
anon224,control,25,male,no,white,no,no,,2.16666666666667,4,2.33333333333333
anon225,leg_prime,38,male,no,Hispanic,no,yes,"I want to be remembered  for the positive impact and change I made within all groups of people. I want to be remembered for the compassion and encouragement I generated within my family and peers. I want to be remembered as the person who never gave up, but instead, endured, no matter how difficult the struggle was. I also want to be remembered as the person who gave selflessly and nevered expexted any returns. These are the things I want to be remembered for in my lifetime.",2.66666666666667,4.5,5
anon226,control,34,female,yes,white,no,yes,,3.33333333333333,5.5,3.33333333333333
anon227,control,20,female,no,Asian,no,no,,2.16666666666667,5.25,3.33333333333333
anon228,leg_prime,30,male,yes,white,no,no,"I would like to be remembered for having made a positive impact on a lot of people. I want to be known as a curious person, and one who was very kind and caring of others. I want to be known as someone who helps and someone who enjoyed helping. When all is said and done, what I would like to be remembered as is someone who wanted humanity to be better off with me in it.",4.16666666666667,5.5,6
anon229,leg_prime,41,female,yes,white,no,yes,"I want to be remembered for the advanced knowledge I will contribute to the field of psychology while I complete my PhD. I studied the issues indirectly for more than 10 years before I began my formal studies and I feel like I am doing much good for future generations. It is my hope that this knowledge will change some ineffective and discriminatory laws and will aid victims during painful court processes. As the family of a crime victim myself, I undertook this research as a labor of love and only recently decided to apply (and got accepted) to a PhD program. It can honestly be said that I have done all of this in order to make the processes easier for other families because it can't change anything I had to endure.  This is what I wan to be remembered for. ",4.66666666666667,5.25,5.66666666666667
anon23,control,26,female,yes,African_American,no,yes,,3.5,5.75,6
anon230,leg_prime,31,female,no,Asian,no,yes,I want to be able to help people who need help. Such as in an orphanage or remote areas. I want people to remember me as being an altruistic person who was pretty selfless and not so materialistic.,2.66666666666667,4.25,4.33333333333333
anon231,leg_prime,24,female,yes,white,no,no,I would like to be remembered for my commitment to not doing harm to others or to the planet. I don't have any specific wishes about rearing children or teaching skills to people. I would like to inspire and influence others to be conscientious and eco-friendly. My vegan belief system is important to me and I believe it is the right way to live. I have adhered to this belief system steadfastly and I would like to be an example to others in that way. Similarly I have avoided using cars and other unnecessarily wasteful choices when I have alternative options. I would like people to think back on those choices of mine and be inspired to try their best as well.,3.5,5.25,3.33333333333333
anon232,leg_prime,42,female,no,white,no,NA,"I would like to be remembered for the great persons I brought up in my son and daughters. For the great teachings about moral, values and for making them productive, good additions to this society. I will also liked to be remember as a warm, caring and smart person that helped others and was always available for those who needed me. As well as being a good mother, a great wife and a fun and loving friend.",2.5,5.75,6
anon233,leg_prime,32,male,yes,white,no,no,"I want to be remembered as a person who lived a meaningful life. A life without material distractions and useless endeavors.  When someone thinks of me, they will think of the time spent with me, the what material gifts I gave them... But deep authentic time. I want to be known for someone who lived life to the fullest, even as cliche as that sounds. Ultimately I hope to be remembered as someone who loved people, and used things, because the other way around never works. ",3.33333333333333,5.5,5
anon234,leg_prime,24,male,no,Hispanic,no,no,I would like to remembered as a good person. I want to be surrounded by loved one who will miss the memory of me. I want to be good. I dont care about some big legacy I just want to be remember for love and bringing joy into everyones life I interact with. I want kids who remember a good father. I want coworkers who remember a hard worker. I want my teammates in jiujitsu to remember a man with ferocious tendency who put other peoples goals just as high as my own. I want people to smile when they think about me. I want to change peoples lives for good. Screw walking on the moon or making a bunch of money. ,2,4.75,4.33333333333333
anon235,leg_prime,27,female,yes,white,no,yes,"I would like to be remembered for my diversity and my open minded nature. Being accepting of other people has been something that is very hard during this time, where some people are able to accept that others are different, and everyone else just wants life to be the same. This is an era for innovation, and I want to be seen as one of the people who was loving and accepting of all types of people, and wished for everyone to be respectful. I am a nurturing and caring mother, friend, and a strong woman too. Being a woman who wants true equality is a rarity in its form. Many ""feminists"" have a stigma surrounding them where they are asking for special favors rather than equality, but this is something that is also being observed by the African American community as well, and probably is not true, at least not for everyone. It is important tobe accepting of our rights to freedom and equality, but also to want true eqaulity rather than favoritism or special circumstances. Accepting these features in society will make a great step toward a brighter future, and I think that is something that I feel so strongly about I wouldlike to be remembered by it. I teach my child to be accepting, loving, caring, and respectful, and I would gladly teach others this as well. I truly believe this is the right way to treat other people, and I would love to abolish the close-minded and regressive habits, and move forward.",3.16666666666667,5.25,4
anon236,control,34,female,no,white,no,yes,,2.83333333333333,5,3
anon237,leg_prime,27,female,yes,white,no,no,I would like to be remembered for being devoted to my parents. My parents have done so much for me and deserve to be taken care of and I aim to do that for them at whatever cost to myself. I want any future generations to recognize that about myself. I would also like to be a good caregiver of any children who come into my life whether they are nieces and nephews or my own children. I want to be seen as a good caregiver and hard working person who sacrifices for others.,1.66666666666667,4.5,4.33333333333333
anon238,leg_prime,22,male,yes,white,no,no,"I would like to be remembered for several qualities. I believe that I have a very open mind and am comparatively easy going compared to most people. Compassion would be another quality I would like to be remembered for. For these emotional traits, I wish for my memory to inspire future generations to follow similarly. I feel as if the world is too sensitive about many issues, including political correctness and righteousness. If my memory allows for people to be more forgiving and understanding towards one another, I would feel fulfilled. It would be nice to be remembered for my musical skill, if possible. This would mainly be for self satisfaction though, as I feel that if I were remembered for such a trait I would be considered a successful musician.",1.5,6.25,5
anon239,control,46,male,no,Hispanic,no,no,,2.83333333333333,4,2.66666666666667
anon24,leg_prime,22,male,no,white,no,no,"I want to be remembered a pioneer in a new field. A field that would have impact on society and human civilization as whole. It would be something that many people benefit from and something that would push our entire species toward a common goal. Getting the human race to band together to do something would be beneficial to everyone on the planet and a feat that nobody has accomplished before.

With regards to personality I would like to be remembered as someone that is not too cruel or nice and has a good moral compass. I would not want people to fear me. I would want others to judge me based on actions. I want to be in a position of power and be able to help people without any expectations from them. During my life I would not want any acknowledgement publicly, but after I have deceased I would want my life work to still have value to future generations.",2.16666666666667,5,5.33333333333333
anon240,leg_prime,23,male,yes,white,no,no,"I want to be remembered by future generations for being someone who made a positive impact on his local community. I enjoy volunteering at the library archives, and I feel that I am helping preserve and document history for these future generations. While this might not have a massive impact beyond the local community, I think it will help preserve the sense of culture that this town has, and maybe even this whole state. I hope to be remembered by family members as being a friendly and generous person. I don't want to have a negative impact on anyone, and I don't suspect that I will.",4,5.25,4.66666666666667
anon241,control,27,male,no,white,no,no,,2.33333333333333,5,4.33333333333333
anon242,control,35,female,no,white,no,yes,,3.5,5,3.66666666666667
anon243,leg_prime,29,male,no,Asian,no,no,"I wish you hadn't picked such an absurd writing prompt: not everyone cares to leave behind legacies or be remembered. I'm one of the few people that doesn't care to have offspring and leave anything behind. That said, if I absolutely must write about this, I suppose I want to be remembered as being a rational person that always considered all the possible alternatives before acting. Simply put, not enough people think things through nowadays, and act without a care for the consequences of others. Climate change, for an example, is one such consequence that has a severe effect on others because the generations before us (as well as our own) did not think about the effects of over-industrialization and rampant consumerism.",3.33333333333333,5.25,2
anon244,control,35,male,no,white,no,no,,3,5,3.66666666666667
anon245,leg_prime,27,female,no,white,no,yes,I want to be remembered for several things. I want to be remember for being a great mother and giving my children lots of good memories. I want them to tell people that I always put them first. I want to be remembered for being a good person and being kind to others. I would also like for people to say that was the kind of person that you always knew where I stood on things. I want people to say that I loved deeply and gave my all to everything I did. I hope that they talk about my personality and how I brought joy and happiness to those around me.,1.5,3.75,4.33333333333333
anon246,control,34,male,no,white,no,no,,2.66666666666667,5,2.66666666666667
anon247,control,21,male,no,Asian,no,no,,2.66666666666667,5.25,5.33333333333333
anon248,leg_prime,31,male,no,Other,no,no,"I want to be remembered for making a contribution that no one else has made before. I would like to be remembered for having a positive effect on society. For example, making a contribution in my field of work that advances the field. I would hope that future generations would remember me as devoting my time and effort selflessly to the advancement of mankind, even if my efforts did not result in some extraordinary achievement.",3,5.75,6
anon249,leg_prime,44,female,no,white,no,yes,"I would like to be remembered for my kind and generous nature. I would like to do something that would show this to future generations by way of my contributions to society. This could be done by things that I have given to my community. I would also like to be remembered as a historian by contributing to the knowledge of our past for the future generation. I would like to perhaps write a book on specific areas of history or contribute significantly to the organizing or acquiring of museum items that the future generations can look at and remember the past of those who walked before them. I would also like to be remembered for my role as a parent of a special needs child and contribute in some way to helping other parents with special needs, whether it be by helping there be more services in the future or by assisting children now to lead a productive life in the future.",2,4.5,5.33333333333333
anon25,leg_prime,57,female,no,white,no,yes,"I would like to be remembered for my love of animals, especially dogs.  I have adopted many rescued and abused dogs and gave them a loving home.  I had fostered two dogs as well.  My son jokes that in my older years I will be referred to as ""that crazy dog lady.""  I said I would wear that as a badge of honor!  It would be wonderful if I were remembered for my love and devotion to my pets and to my volunteerism at our local animal sanctuary.  I would be so happy to be remembered in that way, since I have loved dogs and animals since I was very young.  I have a big heart and I guess that's how I best express it.  I feel that giving these dogs, especially my Mugsy, who was from a puppy mill, show people that I truly care for dogs and especially those who have been abused.  ",2.5,5,5
anon250,leg_prime,30,male,no,Other,no,yes, I want future generations to remember me as being a team player. I want them to see me as a humble person who tried to do what was best for everyone not just himself. The kind of person who believed in family and church and was grateful for both. If future generations remember me as someone who did not think the world revolved around myself I will be happy with my life.,4,4.25,3.33333333333333
anon251,control,33,female,no,white,no,yes,,1.83333333333333,4.5,3.33333333333333
anon252,leg_prime,38,male,no,white,no,yes,"i WOULD LIE TO BE REMEMBERED AS A PERSON WHO DEDICATED HIS LIFE TO HIS FAMILY AND HELPING PEOPLE. AS A PERSONAL TRAINER I HAVE HELP 1000'S OF PEOPLE LIVE A BETTER LIFE.  I WOULD LIKE TO BE REMEMBER AS SOMEONE WHO CARED FOR BETTER AND MADE THE WORLD A BETTER PLACE.  I WANT TO BE THOUGHT OF AS A MAN WHO CARED FOR PEOPLE AND ALWAYS TRIED TO HELP THOSE IN NEED.  I ALSO WANT TO BE KNOW AS A MAN WHO PUT HIS FAMILY IN FRONT OF ALL US.  I WANT PEOPLE TO KNOW THAT I WAS A MAN WHO LOVED FAMILY ABOVE ALL ELSE AND GAVE MY HEART AND SOUL TO MY WIFE AND SON.  I WANT TO BE REMEMBERED AS A GOOD FATHER, HUSBAND, AND HUMAN.   I ALSO WANT TO BE KNOWN AS SOMEONE WHO MADE A DIFFERENCE. ",2.5,5.5,5
anon253,control,34,female,yes,white,no,no,,3.33333333333333,5,1
anon254,control,20,male,no,white,no,NA,,3.16666666666667,4.75,4
anon255,control,21,male,no,white,no,no,,3.66666666666667,5,4
anon256,control,23,female,yes,white,no,no,,3.66666666666667,5.5,4.66666666666667
anon257,leg_prime,33,NA,yes,white,no,no,I don't really want to be remembered for anything. I have no children and I am not going to have children. I am not afraid of dying without a legacy. I do not have many friends and family to remember me anyways. This would bother most people because people want to feel validated and relevant but I know there are many people who die everyday and are forgotten. It does not make me angry or sad to die this way. I enjoy my life and that is all that matters to me. Life is for the living,2.33333333333333,5.5,1
anon258,leg_prime,63,male,yes,white,no,no,The one thing that i want to be remembered for is how many people I have helped over the tears and didn't want or ask for anything in return. I just really liked helping people. If I ever became super rich I would have spent my time looking for people that really needed help and I would of spent a small fortune in helping them out. I would have liked nothing better than have enough money where I could have made a huge difference in people's lives. Most people that had me as a friend didn't deserve me as a friend that all let me down but I was the best friend they could have ever had.,3.83333333333333,4.5,4.33333333333333
anon259,control,59,female,no,white,no,no,,1,4.75,3.33333333333333
anon26,control,42,female,no,white,no,no,,2.5,4.5,3.66666666666667
anon260,control,28,female,no,white,no,yes,,1.5,4.5,2.33333333333333
anon261,control,35,male,no,white,no,yes,,3.66666666666667,4.5,3
anon262,leg_prime,26,female,no,Asian,no,no,"I would like future generations to remember me as a intelligent, caring, and innovative cardiologist that made a lasting impact on the field. I want to be known for my compassionate care and ability to effectively take care of patients. I also want to be known for passing my knowledge along to younger generations of medical students, residents, and fellows.
To future generations of my family I want them to see me as someone who was devoted to their career but also to their family and friends. I want to be as someone who was adventurous and willing to take risks to learn more about the world and myself. I would want my children and grandchildren to follow in my footsteps in balancing their live in as many aspects as they can. ",2,5.25,6
anon263,control,25,female,no,white,no,no,,5,5,5
anon264,leg_prime,37,male,yes,white,no,yes,"I want to be remembered for my commitment to family, generosity and willingness to help people, especially those close to me.  I hope my children will pass my name on to their children, children's children, and so on. I hope that I can leave my wife and children with good memories when I'm gone. I hope I will be remembered for all the good I've done and not the mistakes I've made.  I hope I leave my children able to cope with the world, take it head on and never look back.
",2,5,5.66666666666667
anon265,leg_prime,42,female,no,white,no,yes,"I want to be remembered for being a good person and a great mother to my son. I would like for people to be able to say that I would help anyone with anything. Never asking for anything in return. Let people remember me with love and laughter! I want them to remember that I was a hard worker and never broke a promise that I had made, if at all possible. Let them remember that my family was of utmost importance to me.

They will remember that I am a strong woman that doesn't quit trying to better myself.",3.83333333333333,5,5
anon266,leg_prime,52,female,yes,white,no,no,"I decided to start an endowment at my alma mater in honor of my parents, who gave so much to me. I have also bequeathed my estate to my alma mater, to start another scholarship. I know that is what my dad (deceased) would have wanted me to do with my inheritance. With the economy the way it is, it's very important to me to make a difference in education, so that the most young people can benefit. An endowment isn't like a child or family line ... it never dies out, and exists as long as the institution stands. I like knowing that I will leave something behind that will surely endure, and that will help generations of young people, and not just a handful. I think that making the most enduring, positive impact is the best way to be remembered, and that is the legacy that I personally hope to leave behind.",3.66666666666667,4.5,5.66666666666667
anon267,control,28,male,no,white,no,no,,2.16666666666667,4.5,4.66666666666667
anon268,control,61,female,no,white,no,no,,2.33333333333333,3.25,1
anon269,control,26,male,yes,Asian,no,no,,4,5.5,5
anon27,leg_prime,52,male,yes,white,no,no,"I would want to be remembered as a good husband and a good friend. I would want people to think of my sense of humor and intellect. I would hope that I would be remembered as kind and loving, and folks might share a story about how I cried at an old movie or played with a niece or nephew. I would hop to leave the world a better place than when I got here. I don't need to have my name on a building.",4.5,4.75,5
anon270,control,22,male,yes,white,no,no,,3.66666666666667,4.5,5
anon271,leg_prime,24,male,no,white,no,no,"I would like to be remembered for nothing. I do not care if people remember me or not. Wanting to leave a mark on history leads people to commit crimes, forge research, and steal other people's work. Some people become so self interested in leaving a mark, they don't stop to take the time to appreciate life and live it the way they want. All I really want is to live a good life and be happy and if people remember me, that's great, but I'm not striving for remembrance. Given time all people are forgotten. ",2.83333333333333,3,1
anon272,control,22,male,yes,white,no,no,,4.16666666666667,5.5,6
anon273,control,28,male,yes,white,no,no,,3,6,6
anon274,control,32,male,no,white,no,no,,4,5,4.66666666666667
anon275,leg_prime,26,male,no,Asian,no,no,"I want to be remembered for one thing and one thing only. I want to be remembered for the fact that I was able to achieve financia independence. By achieving financial independence, I was able to fulfill my obligations to society and other people. I am able to support myself and live on my own. I am able to help society by paying taxes. I am a functional part of society and I contribute to the local economy and the local community. I am able to be a good citizen and abide by the laws. I look after my possessions. I do no harm to others.",1.66666666666667,3,1.33333333333333
anon276,control,37,female,yes,white,no,no,,3,5,5
anon277,control,34,male,no,white,no,no,,3,3.75,2
anon278,leg_prime,22,male,no,white,no,no,"I want to be remembered as someone who made legitimate contributions to the cybersecurity field.  I want to know that because I took action, I made a difference to this country, even if only I actually know what happened.   I want to remember me as hard but fair, a throwback to the days where compliments wee few and far between, but meant much more than today's compliments.   I want to be remembered as a model leader: someone who cared immensely for his team, someone who never took advantage of rank, and was doing his fair share of the work. I also want to be remembered as a model Scout, someone who continued to give back to a program that gave him so much.  I also want to be remembered as a good father to my future children; someone who was fair and just and taught his children the values of honor, duty, respect, and dignity.",2,3.5,5.33333333333333
anon279,control,40,female,no,white,no,yes,,1.83333333333333,5.25,6
anon28,leg_prime,20,female,yes,Asian,no,no,"I want to be remembered not in name, but in deed. I would like to volunteer during my free time and work during my weeks to better people's lives. Specifically, I would like to elucidate more about the neural mechanisms of sleep, and translate it with my background in organic chemistry into treatments for the sleep-deprived. That is my main aspiration in life, although when I work towards my PhD, the precise topic may be changed. I would also like to leave behind music compositions for orchestra and abstract art to express a point of view on society and current times and especially nature, such that people who hear/see my work would be inspired to see a different perspective or find common ground with someone who came before or during their time. ",4,4.75,5.33333333333333
anon280,control,40,male,no,white,no,no,,2.5,4.25,4.33333333333333
anon281,leg_prime,48,female,no,Hispanic,yes,yes,"It is very easy for me to know what I want to be remembered for. I want the world to read my novels and stories for hundreds of years. I want my stories to resonate with people for generation upon generation. I want people to know my name as one of the giants in the fantasy and science fiction fields. I want movies to be made from my stories and those movies will bring forth revelations and emotions in people that they did not deem possible. I want my great, great grand children to say ""Yes, that is my grandmother and I am proud of it."" I want people to specialize in collecting my books and memorabilia. I want them to seek out my original notes on my stories and jump up and down with glee when stumbling across a first edition of my work. That's about it. Not much more I can say.",1.66666666666667,3.25,4
anon282,leg_prime,31,male,yes,African_American,no,no,"I want future generations to remember me for my fight to help make the planet Earth healthy for their generation. It would be great for future generations to look back at me and say ""He's partly the reason why we enjoy such a great environment."" They would see my picture in history books next to other noteworthy philanthropists that worked and gave to make the world a better place. ",5.5,5.5,5
anon283,control,54,female,yes,white,no,yes,,2.83333333333333,5.5,3.66666666666667
anon284,leg_prime,26,female,no,white,no,yes,I would want future generations to remember that I was a hard worker and only wanted the best for my family. I would want to be remembered as being kind natured and a happy person. ,2.5,5,5
anon285,control,25,female,yes,Asian,no,no,,4.16666666666667,5.5,4.33333333333333
anon286,control,43,female,yes,white,no,no,,5,5.25,4.66666666666667
anon287,control,36,male,no,white,no,no,,3,5,4
anon288,leg_prime,29,male,yes,white,no,no,I want to be remembered for being a nice person. I want to be remembered for helping people when they need it. I want to be remembered for being a people person and loving everyone. I want to be a nice guy to everyone and love everyone . Want to be a hard working person that will do whatever for someone when they need me i dont want to be remembered for a mean person or someone that wouldnt help you.,4,4.25,4.66666666666667
anon289,leg_prime,33,male,no,African_American,no,yes,"I want to remembered for bridging gaps. Whether it be between spirituality and science, between races, genders, philosophies...I want to be remembered for bringing people together.  Specifically I want to use my skills as a communicator to help enrich my community on a psychological level. ",2.83333333333333,5.5,5.33333333333333
anon29,leg_prime,45,male,no,white,no,yes,After I am gone hopefully people will remember me for many things. The first I thing I hope sticks out is being a role model for my Christian faith. With my Christian faith I hope no one saw me as over bearing but would like to considering learning about. The list is long but also hope people think of me for being a fair concerned Manager and Leader one that was stern but fair. Being that leader I hope I leave some type of skills people would like to carry on.  Probably the thing that I believe is one of the best next to my faith is being know as the person that was willing to help others out because I respected life.,3,5,5
anon290,control,25,male,yes,Other,no,yes,,3,5.5,5.66666666666667
anon291,leg_prime,35,female,no,white,no,no,"I want to be remembered for teaching and inspiring others, and for being a kind and loyal person. I hope that I will have impacted others by helping them to develop the skills they need to be successful in life and by assisting them whenever I could with their daily challenges and struggles. I would like to be viewed as the type of person who was warm and friendly to everyone. My significant other, close friends, and family members would all say that they felt they could trust me and share their lives with me both in good times and in bad. Most importantly, the legacy I want to leave is one of love because I have been blessed with much love in my years of living.",2.33333333333333,4.5,4.66666666666667
anon292,leg_prime,46,male,yes,white,no,no,"Well, I don't suppose I can say ""nothing,"" can I? I don't have children, I don't want children, and I really have no concern over whether or not generic ""future generations"" remember me. Once I'm no longer here, I really don't think the question matters. I'm an introvert, and the world doesn't interest me much. I write book reviews, and I suppose there's a chance they will live on after I do, but I doubt anyone is going to read them and think ""Wow, he must have been a great guy."" I think it's more important to think about what you're remembered for when you're alive.",2.66666666666667,4,1
anon293,control,27,female,yes,white,no,no,,2.83333333333333,5.5,3.33333333333333
anon294,control,36,female,no,white,no,yes,,3,5.75,5.66666666666667
anon295,control,59,male,no,white,no,no,,2,4,1.33333333333333
anon296,leg_prime,23,female,yes,African_American,no,yes,I want to be remembered for being a kind person. I don't take anything for granted and i try to treat everyone with love and respect. I also want to be known as hard working and strong. And that i stood up for what i believed in. ,3.5,4.25,3.33333333333333
anon297,control,22,female,no,African_American,no,no,,2.5,4.25,2
anon298,leg_prime,21,male,yes,white,no,no,"I want future generations to remember me for the legacy I left behind, specifically my humor, intelligence, and kindness.  I like to think that I'm pretty funny, but in a very happy and lighthearted way without bringing down others.  I want people to remember as someone who always put a smile on other peoples faces no matter the circumstance.  Additionally, I want to be remembered for what I can and will continue to accomplish both academically and intellectually, creating new ideas to solve modern problems using engineering technology that will hopefully shape the future that we'll live in.  
Most importantly, I want to remembered for always being kind to others and treating my neighbor as myself.  I always try to go out of my way at least once a day to help someone else in a place or time of need, if there's anything I can do for help.  I want these moments and lessons to be passed on to not only my children but all the people whom I interact with on a daily basis.  ",3,5,5.33333333333333
anon299,control,33,male,yes,white,no,no,,3.33333333333333,5,4.66666666666667
anon3,control,24,male,yes,Other,no,no,,2.16666666666667,4.5,4
anon30,leg_prime,45,female,no,African_American,no,yes,"I want to be remembered as a person who liked to help others when they needed something or someone. I have taken a lot of people into my home when they needed help, and have let them stay in my home with me and my kids. I have been their friends and have given them a lot of advice when they were having problems. I want to be remembered as a kind and loving person who took care of people in need, and as a good Christian woman who loved her children very much. ",3.16666666666667,4,3.66666666666667
anon300,control,27,male,yes,white,no,no,,2.83333333333333,5.5,5.66666666666667
